athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,First Name,born_year
141460,Leylah Fernandez,2002-09-06,Montréal,Québec,CAN,Canada,,,,Leylah,2002.0
141513,Cédric Fofana,2003-09-15,Montréal,Québec,CAN,Canada,,,,Cédric,2003.0
141514,Nathan Zsombor-Murray,2003-04-28,Montréal,Québec,CAN,Canada,,,,Nathan,2003.0
141515,Rylan Wiens,2002-01-02,Calgary,Alberta,CAN,Canada,,,,Rylan,2002.0
141558,Cole Pratt,2002-08-13,Regina,Saskatchewan,CAN,Canada,,,,Cole,2002.0
141559,Gabe Mastromatteo,2002-04-27,Thunder Bay,Ontario,CAN,Canada,,,,Gabe,2002.0
141573,Raegan Rutty,2002-01-14,,,,Cayman Islands,,,,Raegan,2002.0
141574,Jillian Crooks,2006-06-27,,,,Cayman Islands,,,,Jillian,2006.0
141582,Catalina Soto,2001-04-08,Santiago,Santiago Metropolitan,CHI,Chile,,,,Catalina,2001.0
141584,Katina Proestakis,2002-06-14,,,,Chile,173.0,63.0,,Katina,2002.0
141585,Antonia Canales,2002-10-16,,,,Chile,174.0,59.0,,Antonia,2002.0
141601,Valentina Díaz,2001-03-30,,,,Chile,,,,Valentina,2001.0
141607,Josefina Tapia,2002-04-25,,,,Chile,,,,Josefina,2002.0
141616,Eduardo Cisternas,2004-01-10,,,,Chile,,,,Eduardo,2004.0
